date,ES,NQ,ZN
2020-02-04,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-02-05,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-02-06,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-02-07,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-02-11,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-02-12,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-02-13,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-02-18,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-02-26,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-03-02,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-03-03,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-03-04,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-03-05,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-03-06,0.7173201753889161,-5.33099736805443,4.184744996857731
2020-03-09,0.7173201753889161,-5.33099736805443,4.184744996857731
